                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.57193,                0.48495,                 1.1648,                0.98754,                0.99971,                0.99418,                 0.9201,                0.43675,                0.37118,                 1.0523,             0.00057778,             0.00057778,             0.00057778
                     68,                0.57294,                0.47898,                 1.1621,                0.99573,                0.99918,                  0.995,                0.93326,                0.40266,                0.36201,                 1.0156,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.5829,                0.47017,                 1.1638,                0.99088,                 0.9982,                0.99496,                0.92361,                0.42588,                0.36895,                 1.0389,             0.00054478,             0.00054478,             0.00054478
                     70,                0.59291,                0.47344,                 1.1652,                0.99107,                0.99943,                0.99498,                0.93438,                0.40345,                0.35403,                 1.0221,             0.00052827,             0.00052827,             0.00052827
                     71,                  0.573,                0.46624,                 1.1661,                0.99126,                      1,                  0.995,                0.93573,                0.40469,                0.35276,                 1.0134,             0.00051177,             0.00051177,             0.00051177
                     72,                 0.5422,                  0.435,                 1.1294,                0.98758,                0.99986,                0.99498,                0.92798,                0.41288,                0.35914,                 1.0358,             0.00049527,             0.00049527,             0.00049527
                     73,                0.58171,                0.47798,                 1.1738,                0.98691,                0.99976,                0.99498,                0.91763,                0.43382,                0.36291,                 1.0526,             0.00047876,             0.00047876,             0.00047876
                     74,                0.56466,                0.45353,                 1.1514,                0.96122,                0.98728,                0.99492,                0.94572,                0.37286,                 0.3731,                0.99297,             0.00046226,             0.00046226,             0.00046226
                     75,                0.53349,                0.43833,                 1.1213,                 0.9937,                0.99876,                0.99488,                 0.9507,                0.38174,                0.33254,                0.98904,             0.00044576,             0.00044576,             0.00044576
                     76,                0.51736,                0.42877,                 1.1265,                0.97736,                0.99258,                 0.9941,                0.94099,                0.38635,                0.36137,                 1.0004,             0.00042925,             0.00042925,             0.00042925
                     77,                0.54588,                0.45442,                 1.1485,                0.98656,                0.99835,                0.99494,                0.94324,                0.37967,                0.33803,                0.98854,             0.00041275,             0.00041275,             0.00041275
                     78,                0.54583,                0.44237,                 1.1217,                0.98961,                      1,                  0.995,                0.94216,                0.38804,                0.32366,                0.99594,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.5486,                0.44343,                 1.1437,                0.98693,                      1,                  0.995,                0.93224,                0.40027,                0.33551,                 1.0114,             0.00037974,             0.00037974,             0.00037974
                     80,                0.55155,                0.44028,                 1.1244,                0.99677,                 0.9918,                 0.9949,                0.94881,                0.37762,                0.32093,                0.98891,             0.00036324,             0.00036324,             0.00036324
                     81,                0.55521,                0.43825,                 1.1575,                0.98921,                0.99928,                  0.995,                0.93532,                0.39496,                0.31817,                0.98479,             0.00034674,             0.00034674,             0.00034674
                     82,                0.52756,                0.41916,                 1.1153,                0.98742,                      1,                  0.995,                0.94178,                0.38887,                0.31537,                 1.0018,             0.00033023,             0.00033023,             0.00033023
                     83,                0.50883,                0.41885,                 1.1089,                0.98996,                0.99943,                0.99498,                0.95397,                0.35302,                0.30562,                0.98139,             0.00031373,             0.00031373,             0.00031373
                     84,                0.49902,                0.40094,                 1.1014,                0.98954,                      1,                  0.995,                0.95552,                0.34619,                0.30047,                0.96879,             0.00029723,             0.00029723,             0.00029723
                     85,                0.49896,                0.42425,                 1.1067,                0.97975,                0.99801,                  0.995,                0.94524,                0.36991,                0.32797,                0.98566,             0.00028072,             0.00028072,             0.00028072
                     86,                0.50064,                0.40446,                 1.1126,                  0.998,                 0.9959,                  0.995,                0.95389,                0.35501,                0.30179,                0.97493,             0.00026422,             0.00026422,             0.00026422
                     87,                0.50047,                0.40363,                 1.0995,                0.99488,                0.99499,                0.99496,                0.94996,                  0.373,                 0.3135,                0.98807,             0.00024772,             0.00024772,             0.00024772
                     88,                0.46881,                0.38361,                 1.0706,                0.99751,                0.99795,                  0.995,                0.95417,                0.36369,                0.29495,                0.98733,             0.00023121,             0.00023121,             0.00023121
                     89,                0.49561,                0.41372,                  1.108,                0.99589,                 0.9959,                0.99498,                0.94799,                0.37284,                0.30166,                0.98021,             0.00021471,             0.00021471,             0.00021471
                     90,                0.48045,                0.39449,                 1.0958,                0.99686,                 0.9959,                0.99496,                0.94445,                0.37288,                0.30395,                0.98273,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.3935,                0.35721,                0.99171,                 0.9968,                 0.9959,                0.99498,                0.95721,                0.34083,                0.30928,                0.95985,              0.0001817,              0.0001817,              0.0001817
                     92,                0.39508,                0.35584,                0.99567,                0.98476,                      1,                 0.9946,                0.94923,                0.36364,                0.32091,                0.96771,              0.0001652,              0.0001652,              0.0001652
                     93,                0.40398,                0.34595,                 1.0019,                0.98418,                      1,                0.99496,                0.95064,                0.35676,                0.31389,                0.95822,              0.0001487,              0.0001487,              0.0001487
                     94,                0.37639,                  0.324,                0.98116,                0.98765,                      1,                 0.9949,                0.95245,                0.35312,                0.29927,                0.95555,             0.00013219,             0.00013219,             0.00013219
                     95,                0.36317,                0.31098,                0.95495,                0.99575,                0.99783,                0.99496,                0.95816,                0.34331,                0.28688,                0.95063,             0.00011569,             0.00011569,             0.00011569
                     96,                0.36743,                0.31138,                0.97932,                0.99543,                      1,                0.99494,                0.95674,                0.33939,                0.28463,                0.95229,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.36614,                0.30647,                0.96361,                0.99775,                0.99923,                  0.995,                0.95725,                0.34766,                0.28861,                0.96583,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.35433,                0.31063,                0.97233,                0.99635,                0.99795,                  0.995,                0.96024,                0.33282,                0.28052,                0.94907,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.36651,                0.31079,                0.97532,                0.99588,                0.99765,                  0.995,                0.96004,                0.33582,                 0.2813,                0.95312,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.35978,                0.30645,                0.97398,                0.99292,                0.99795,                0.99498,                0.96276,                0.33055,                0.27964,                0.94849,             3.3173e-05,             3.3173e-05,             3.3173e-05
